"n","p","test","R_time","time_median","time_p10","time_p90","mem_median","mcse_time"
200,32,"DEF.stukel",30,0.00668805000009343,0.00436907000032534,0.00832938000032754,347040,0.000289042827925841
500,32,"DEF.stukel",30,0.00780125000005683,0.00556688000017402,0.0109785300001704,752448,0.000374330987391565
1000,32,"DEF.stukel",30,0.0111907000000428,0.00641724000013255,0.0163431700001411,1424544,0.000818157423366384
2000,32,"DEF.stukel",30,0.0157255500000702,0.00829452000025413,0.0206083600002558,2768736,0.00105647303928651
5000,32,"DEF.stukel",30,0.0249521500002175,0.0171005900001774,0.0390583000000334,6825888,0.00435067035420118
10000,32,"DEF.stukel",30,0.0451149000001578,0.0289273000001003,0.0585471000001462,13571424,0.00208476967859011
20000,32,"DEF.stukel",30,0.0854985500002386,0.0515634800001863,0.122635760000208,27062496,0.00726640058007729
50000,32,"DEF.stukel",10,0.203506200000219,0.15721359000006,0.227718150000033,67404640,0.0101768630871919
200,4,"EF",30,0.0025306500001534,0.00221528000031412,0.00338678999999047,55768,0.000142344370802256
500,4,"EF",30,0.00269315000002734,0.00163473000022805,0.00378360000013345,130312,0.000474904750657012
1000,4,"EF",30,0.00381380000021636,0.00220852000013565,0.00476184000033299,256600,0.00022095038011538
2000,4,"EF",30,0.0042847500001244,0.00208059000010508,0.00704039000027024,509176,0.000440143623726571
5000,4,"EF",30,0.00415065000015602,0.00252717000009852,0.00597397000026376,1340632,0.00053892570907641
10000,4,"EF",30,0.00587580000012622,0.00387263000011444,0.0071460900001739,2677240,0.00155864340065727
20000,4,"EF",30,0.00950345000023844,0.00538556000019525,0.0187682000000677,5350456,0.0012008139042372
50000,4,"EF",10,0.0129043000001729,0.0107763700001669,0.0219897700003003,12976888,0.00785226051614678
200,8,"EF",30,0.00274915000022702,0.00228984000004857,0.00421506000016052,62440,0.000153258682807766
500,8,"EF",30,0.00304135000021688,0.00180323000008684,0.00497280000022328,146584,0.000747996054023918
1000,8,"EF",30,0.00423250000005737,0.00171001000014712,0.00536126000006334,288872,0.00110829373223837
2000,8,"EF",30,0.00491460000012012,0.00245417000019188,0.011400580000236,573448,0.00460157667430131
5000,8,"EF",30,0.00481665000006615,0.00261032000012164,0.00670890000012605,1500904,0.000319866447871004
10000,8,"EF",30,0.0062409000001935,0.0035992100001522,0.0116886500002465,2997512,0.000697788106749092
20000,8,"EF",30,0.0106241500002397,0.00643706999987899,0.0139753300000393,5990728,0.00055705214316304
50000,8,"EF",10,0.0127353000001449,0.0113474600000927,0.0214417600000388,14577160,0.00183596873847548
