"family","n","G","test","alpha","null_size","mcse","size_ok"
"quad",500,10,"DEF.poly2",0.05,0.0525,0.00223033069296909,TRUE
"quad",500,10,"DEF.poly2",0.1,0.0975,0.00296637404923924,TRUE
"quad",500,10,"DEF.poly3",0.01,0.0084,0.000912657657613193,TRUE
"quad",500,10,"DEF.poly3",0.05,0.0481,0.00213977545550929,TRUE
"quad",500,10,"DEF.poly3",0.1,0.1017,0.00302253387077796,TRUE
"quad",500,10,"DEF.stukel",0.01,0.0099,0.000990049998737437,TRUE
"quad",500,10,"DEF.stukel",0.05,0.0466,0.00210780549387272,TRUE
"quad",500,10,"DEF.stukel",0.1,0.0959,0.00294454054140879,TRUE
"quad",500,10,"EF",0.01,0.0096,0.000975081535052326,TRUE
"quad",500,10,"EF",0.05,0.0481,0.00213977545550929,TRUE
"quad",500,10,"EF",0.1,0.0996,0.00299465924605789,TRUE
"quad",500,10,"HL",0.01,0.0098,0.000985086798206128,TRUE
"quad",500,10,"HL",0.05,0.0476,0.00212918388120895,TRUE
"quad",500,10,"HL",0.1,0.1003,0.00300399583887861,TRUE
"quad",500,10,"HL-equalwidth",0.01,0.0093,0.000959870303739,TRUE
"quad",500,10,"HL-equalwidth",0.05,0.0499,0.00217738352156895,TRUE
"quad",500,10,"HL-equalwidth",0.1,0.1015,0.00301989652140599,TRUE
"quad",500,10,"Pigeon-Heyse",0.01,0.0055,0.000739577582137263,FALSE
"quad",500,10,"Pigeon-Heyse",0.05,0.0286,0.00166679452842874,FALSE
"quad",500,10,"Pigeon-Heyse",0.1,0.0633,0.00243501765907354,FALSE
"quad",500,10,"Stukel",0.01,0.0227,0.00148945325539273,FALSE
"quad",500,10,"Stukel",0.05,0.07,0.00255147016443461,FALSE
"quad",500,10,"Stukel",0.1,0.1138,0.0031756819740018,FALSE
"quad",500,10,"Tsiatis",0.01,0.0083,0.000907254650029417,TRUE
"quad",500,10,"Tsiatis",0.05,0.049,0.0021586801523153,TRUE
"quad",500,10,"Tsiatis",0.1,0.0967,0.002955488284531,TRUE
"quad",500,10,"Xie",0.01,0.0061,0.000778639197574846,FALSE
"quad",500,10,"Xie",0.05,0.0389,0.00193356639399841,FALSE
"quad",500,10,"Xie",0.1,0.0809,0.00272681480852661,FALSE
"binint",500,10,"DEF.poly2",0.01,0.0098,0.000985086798206128,TRUE
"binint",500,10,"DEF.poly2",0.05,0.0479,0.00213554653426237,TRUE
"binint",500,10,"DEF.poly2",0.1,0.0992,0.0029893035978301,TRUE
"binint",500,10,"DEF.poly3",0.01,0.0097,0.000980097444135021,TRUE
"binint",500,10,"DEF.poly3",0.05,0.0484,0.00214609971809327,TRUE
"binint",500,10,"DEF.poly3",0.1,0.0983,0.00297719851538321,TRUE
"binint",500,10,"DEF.stukel",0.01,0.0103,0.00100964894889263,TRUE
"binint",500,10,"DEF.stukel",0.05,0.0486,0.00215030323442997,TRUE
"binint",500,10,"DEF.stukel",0.1,0.0943,0.00292245632987047,TRUE
"binint",500,10,"EF",0.01,0.0097,0.000980097444135021,TRUE
"binint",500,10,"EF",0.05,0.0498,0.00217531514958178,TRUE
"binint",500,10,"EF",0.1,0.0983,0.00297719851538321,TRUE
"binint",500,10,"HL",0.01,0.0098,0.000985086798206128,TRUE
"binint",500,10,"HL",0.05,0.05,0.00217944947177034,TRUE
"binint",500,10,"HL",0.1,0.0971,0.00296093887137171,TRUE
"binint",500,10,"HL-equalwidth",0.01,0.0101,0.000999899494949367,TRUE
"binint",500,10,"HL-equalwidth",0.05,0.048,0.00213766227454198,TRUE
"binint",500,10,"HL-equalwidth",0.1,0.0989,0.00298527703907024,TRUE
"binint",500,10,"Pigeon-Heyse",0.01,0.0059,0.000765845284636525,FALSE
"binint",500,10,"Pigeon-Heyse",0.05,0.0306,0.00172231356030196,FALSE
"binint",500,10,"Pigeon-Heyse",0.1,0.0652,0.00246878431621719,FALSE
"binint",500,10,"Stukel",0.01,0.0202,0.00140683900997946,FALSE
"binint",500,10,"Stukel",0.05,0.0698,0.00254809654448178,FALSE
"binint",500,10,"Stukel",0.1,0.1162,0.00320464600229105,FALSE
"binint",500,10,"Tsiatis",0.01,0.0089,0.000939190608982011,TRUE
"binint",500,10,"Tsiatis",0.05,0.0516,0.00221218082443547,TRUE
"binint",500,10,"Tsiatis",0.1,0.1041,0.00305390225776792,TRUE
"binint",500,10,"Xie",0.01,0.005,0.000705336798983294,FALSE
"binint",500,10,"Xie",0.05,0.0294,0.00168924953751659,FALSE
"binint",500,10,"Xie",0.1,0.0622,0.00241518446500469,FALSE
"contint",500,10,"DEF.poly2",0.01,0.008,0.000890842298052804,TRUE
"contint",500,10,"DEF.poly2",0.05,0.0438,0.00204649847300212,TRUE
"contint",500,10,"DEF.poly2",0.1,0.0903,0.00286611077943613,FALSE
"contint",500,10,"DEF.poly3",0.01,0.0086,0.000923365583070974,TRUE
"contint",500,10,"DEF.poly3",0.05,0.0475,0.00212705782714058,TRUE
"contint",500,10,"DEF.poly3",0.1,0.0982,0.00297584878648093,TRUE
"contint",500,10,"DEF.stukel",0.01,0.0105,0.00101930123123638,TRUE
"contint",500,10,"DEF.stukel",0.05,0.0485,0.00214820273717357,TRUE
"contint",500,10,"DEF.stukel",0.1,0.0973,0.0029636583811229,TRUE
"contint",500,10,"EF",0.01,0.0092,0.000954743944730732,TRUE
"contint",500,10,"EF",0.05,0.0457,0.00208833689810816,TRUE
"contint",500,10,"EF",0.1,0.0929,0.00290292249293707,TRUE
"contint",500,10,"HL",0.01,0.009,0.000944404574321832,TRUE
"contint",500,10,"HL",0.05,0.046,0.00209485083001153,TRUE
"contint",500,10,"HL",0.1,0.093,0.00290432436205049,TRUE
"contint",500,10,"HL-equalwidth",0.01,0.0136,0.00115823313715331,FALSE
"contint",500,10,"HL-equalwidth",0.05,0.055,0.0022798026230356,TRUE
"contint",500,10,"HL-equalwidth",0.1,0.1042,0.00305519819324377,TRUE
"contint",500,10,"Pigeon-Heyse",0.01,0.0051,0.000712319450808414,FALSE
"contint",500,10,"Pigeon-Heyse",0.05,0.029,0.0016780643611018,FALSE
"contint",500,10,"Pigeon-Heyse",0.1,0.0604,0.00238226446894546,FALSE
"contint",500,10,"Stukel",0.01,0.0202,0.00140683900997946,FALSE
"contint",500,10,"Stukel",0.05,0.064,0.00244752936652454,FALSE
"contint",500,10,"Stukel",0.1,0.1065,0.00308476498294441,TRUE
"contint",500,10,"Tsiatis",0.01,0.0075,0.00086277169633687,TRUE
"contint",500,10,"Tsiatis",0.05,0.0449,0.0020708449966137,TRUE
"contint",500,10,"Tsiatis",0.1,0.098,0.00297314648142334,TRUE
"contint",500,10,"Xie",0.01,0.0042,0.000646711682281989,FALSE
"contint",500,10,"Xie",0.05,0.0276,0.00163823807793617,FALSE
"contint",500,10,"Xie",0.1,0.0606,0.00238595138257258,FALSE
"link",500,10,"DEF.poly2",0.01,0.0092,0.000954743944730732,TRUE
"link",500,10,"DEF.poly2",0.05,0.0514,0.00220812227922278,TRUE
"link",500,10,"DEF.poly2",0.1,0.1,0.003,TRUE
"link",500,10,"DEF.poly3",0.01,0.0088,0.000933946465275178,TRUE
"link",500,10,"DEF.poly3",0.05,0.0496,0.00217117111255654,TRUE
"link",500,10,"DEF.poly3",0.1,0.0989,0.00298527703907024,TRUE
"link",500,10,"DEF.stukel",0.01,0.0095,0.000970038659023443,TRUE
"link",500,10,"DEF.stukel",0.05,0.0482,0.00214188608473934,TRUE
"link",500,10,"DEF.stukel",0.1,0.0947,0.00292800119535495,TRUE
"link",500,10,"EF",0.01,0.0092,0.000954743944730732,TRUE
"link",500,10,"EF",0.05,0.0426,0.00201953559017909,FALSE
"link",500,10,"EF",0.1,0.0932,0.00290712504031044,TRUE
"link",500,10,"HL",0.01,0.0087,0.000928671631956097,TRUE
"link",500,10,"HL",0.05,0.0428,0.00202405928766921,FALSE
"link",500,10,"HL",0.1,0.0927,0.00290011568734766,TRUE
"link",500,10,"HL-equalwidth",0.01,0.0114,0.00106160444610976,TRUE
"link",500,10,"HL-equalwidth",0.05,0.0518,0.00221623013245466,TRUE
"link",500,10,"HL-equalwidth",0.1,0.0987,0.00298258797020306,TRUE
"link",500,10,"Pigeon-Heyse",0.01,0.0046,0.000676671264352196,FALSE
"link",500,10,"Pigeon-Heyse",0.05,0.0276,0.00163823807793617,FALSE
"link",500,10,"Pigeon-Heyse",0.1,0.0589,0.00235437443920885,FALSE
"link",500,10,"Stukel",0.01,0.0227,0.00148945325539273,FALSE
"link",500,10,"Stukel",0.05,0.0716,0.00257824436390347,FALSE
"link",500,10,"Stukel",0.1,0.1147,0.00318659551873155,FALSE
"link",500,10,"Tsiatis",0.01,0.0101,0.000999899494949367,TRUE
"link",500,10,"Tsiatis",0.05,0.0512,0.00220405444578849,TRUE
"link",500,10,"Tsiatis",0.1,0.1046,0.00306037317985895,TRUE
"link",500,10,"Xie",0.01,0.005,0.000705336798983294,FALSE
"link",500,10,"Xie",0.05,0.0291,0.00168086852549508,FALSE
"link",500,10,"Xie",0.1,0.0621,0.00241337087908179,FALSE
"rough",500,10,"DEF.poly2",0.01,0.0107,0.00102885907684192,TRUE
"rough",500,10,"DEF.poly2",0.05,0.0482,0.00214188608473934,TRUE
"rough",500,10,"DEF.poly2",0.1,0.0983,0.00297719851538321,TRUE
"rough",500,10,"DEF.poly3",0.01,0.0092,0.000954743944730732,TRUE
"rough",500,10,"DEF.poly3",0.05,0.0507,0.00219384388687983,TRUE
"rough",500,10,"DEF.poly3",0.1,0.0991,0.00298796234916038,TRUE
"rough",500,10,"DEF.stukel",0.01,0.0107,0.00102885907684192,TRUE
"rough",500,10,"DEF.stukel",0.05,0.0501,0.00218151300706643,TRUE
"rough",500,10,"DEF.stukel",0.1,0.0961,0.00294728332536931,TRUE
"rough",500,10,"EF",0.01,0.0102,0.00100478654449589,TRUE
"rough",500,10,"EF",0.05,0.0496,0.00217117111255654,TRUE
"rough",500,10,"EF",0.1,0.0998,0.00299733147983335,TRUE
