"n","p","test","rep","seed","time_sec","mem_bytes","glm_iter","refit_iter","refit_converged","n_events","event_rate"
200,4,"HL",21,20360727,0.00257090000013704,43472,4,NA,NA,107,0.535
200,4,"HL",22,20360728,0.00237990000027821,43472,4,NA,NA,111,0.555
200,4,"HL",23,20360729,0.00254350000000159,43472,4,NA,NA,102,0.51
200,4,"HL",24,20360730,0.00234000000000378,43472,4,NA,NA,102,0.51
200,4,"HL",25,20360731,0.00237740000011399,43472,4,NA,NA,113,0.565
200,4,"HL",26,20360732,0.00218760000007023,43472,4,NA,NA,86,0.43
200,4,"HL",27,20360733,0.0024345000001631,43472,3,NA,NA,107,0.535
200,4,"HL",28,20360734,0.00228720000018257,43472,4,NA,NA,95,0.475
200,4,"HL",29,20360735,0.00231040000016947,43472,4,NA,NA,94,0.47
200,4,"HL",30,20360736,0.00195220000000518,43472,3,NA,NA,108,0.54
200,4,"Pigeon-Heyse",1,20360707,0.00234450000016295,45792,4,NA,NA,91,0.455
200,4,"Pigeon-Heyse",2,20360708,0.00211090000016156,45792,4,NA,NA,96,0.48
200,4,"Pigeon-Heyse",3,20360709,0.00312480000025062,45792,4,NA,NA,104,0.52
200,4,"Pigeon-Heyse",4,20360710,0.0030223000001115,45792,4,NA,NA,103,0.515
200,4,"Pigeon-Heyse",5,20360711,0.00243990000012673,45792,4,NA,NA,90,0.45
200,4,"Pigeon-Heyse",6,20360712,0.00152180000009139,45792,4,NA,NA,88,0.44
200,4,"Pigeon-Heyse",7,20360713,0.00291190000007191,45792,4,NA,NA,104,0.52
200,4,"Pigeon-Heyse",8,20360714,0.00234550000004674,45792,4,NA,NA,90,0.45
200,4,"Pigeon-Heyse",9,20360715,0.00268540000024586,45792,4,NA,NA,96,0.48
200,4,"Pigeon-Heyse",10,20360716,0.00249200000030214,45792,4,NA,NA,101,0.505
200,4,"Pigeon-Heyse",11,20360717,0.00193400000011934,45792,4,NA,NA,113,0.565
200,4,"Pigeon-Heyse",12,20360718,0.00268400000027214,45792,4,NA,NA,112,0.56
200,4,"Pigeon-Heyse",13,20360719,0.00383800000008705,45792,4,NA,NA,110,0.55
200,4,"Pigeon-Heyse",14,20360720,0.00248570000007931,45792,4,NA,NA,102,0.51
200,4,"Pigeon-Heyse",15,20360721,0.0026791000002504,45792,4,NA,NA,96,0.48
200,4,"Pigeon-Heyse",16,20360722,0.00635630000010678,45792,4,NA,NA,94,0.47
200,4,"Pigeon-Heyse",17,20360723,0.00585790000013731,45792,4,NA,NA,108,0.54
200,4,"Pigeon-Heyse",18,20360724,0.00254260000019713,45792,4,NA,NA,91,0.455
200,4,"Pigeon-Heyse",19,20360725,0.00273910000009892,45792,4,NA,NA,109,0.545
200,4,"Pigeon-Heyse",20,20360726,0.00283090000016273,45792,4,NA,NA,96,0.48
200,4,"Pigeon-Heyse",21,20360727,0.00219790000028297,45792,4,NA,NA,107,0.535
200,4,"Pigeon-Heyse",22,20360728,0.00318640000023152,45792,4,NA,NA,111,0.555
200,4,"Pigeon-Heyse",23,20360729,0.00248030000011568,45792,4,NA,NA,102,0.51
200,4,"Pigeon-Heyse",24,20360730,0.0024327000003268,45792,4,NA,NA,102,0.51
200,4,"Pigeon-Heyse",25,20360731,0.00236880000011297,45792,4,NA,NA,113,0.565
200,4,"Pigeon-Heyse",26,20360732,0.00195770000004813,45792,4,NA,NA,86,0.43
200,4,"Pigeon-Heyse",27,20360733,0.00252080000018395,45792,3,NA,NA,107,0.535
200,4,"Pigeon-Heyse",28,20360734,0.00301530000024286,45792,4,NA,NA,95,0.475
200,4,"Pigeon-Heyse",29,20360735,0.00247670000021571,45792,4,NA,NA,94,0.47
200,4,"Pigeon-Heyse",30,20360736,0.00215750000006665,45792,3,NA,NA,108,0.54
200,4,"Osius-Rojek",1,20360707,0.00178480000022319,58168,4,NA,NA,91,0.455
200,4,"Osius-Rojek",2,20360708,0.00144160000013471,58168,4,NA,NA,96,0.48
200,4,"Osius-Rojek",3,20360709,0.0017520000001241,58168,4,NA,NA,104,0.52
200,4,"Osius-Rojek",4,20360710,0.00173660000018572,58168,4,NA,NA,103,0.515
200,4,"Osius-Rojek",5,20360711,0.00163169999996171,58168,4,NA,NA,90,0.45
200,4,"Osius-Rojek",6,20360712,0.00155080000013186,58168,4,NA,NA,88,0.44
200,4,"Osius-Rojek",7,20360713,0.00207390000014129,58168,4,NA,NA,104,0.52
200,4,"Osius-Rojek",8,20360714,0.00153999999997723,58168,4,NA,NA,90,0.45
200,4,"Osius-Rojek",9,20360715,0.00209720000020752,58168,4,NA,NA,96,0.48
200,4,"Osius-Rojek",10,20360716,0.00217790000033347,58168,4,NA,NA,101,0.505
200,4,"Osius-Rojek",11,20360717,0.00149680000026819,58168,4,NA,NA,113,0.565
200,4,"Osius-Rojek",12,20360718,0.0015493000000788,58168,4,NA,NA,112,0.56
200,4,"Osius-Rojek",13,20360719,0.00199080000015783,58168,4,NA,NA,110,0.55
200,4,"Osius-Rojek",14,20360720,0.00170900000011898,58168,4,NA,NA,102,0.51
200,4,"Osius-Rojek",15,20360721,0.00174209999977393,58168,4,NA,NA,96,0.48
200,4,"Osius-Rojek",16,20360722,0.00121390000026622,58168,4,NA,NA,94,0.47
200,4,"Osius-Rojek",17,20360723,0.00176520000013625,58168,4,NA,NA,108,0.54
200,4,"Osius-Rojek",18,20360724,0.00164960000029168,58168,4,NA,NA,91,0.455
200,4,"Osius-Rojek",19,20360725,0.00206440000010844,58168,4,NA,NA,109,0.545
200,4,"Osius-Rojek",20,20360726,0.00187940000023445,58168,4,NA,NA,96,0.48
200,4,"Osius-Rojek",21,20360727,0.0014426000000185,58168,4,NA,NA,107,0.535
200,4,"Osius-Rojek",22,20360728,0.00166860000013003,58168,4,NA,NA,111,0.555
200,4,"Osius-Rojek",23,20360729,0.00246629999992365,58168,4,NA,NA,102,0.51
200,4,"Osius-Rojek",24,20360730,0.00175930000023072,58168,4,NA,NA,102,0.51
200,4,"Osius-Rojek",25,20360731,0.00166820000004009,58168,4,NA,NA,113,0.565
200,4,"Osius-Rojek",26,20360732,0.00117360000012923,58168,4,NA,NA,86,0.43
200,4,"Osius-Rojek",27,20360733,0.00187590000018645,58168,3,NA,NA,107,0.535
200,4,"Osius-Rojek",28,20360734,0.00171710000017811,58168,4,NA,NA,95,0.475
200,4,"Osius-Rojek",29,20360735,0.0019595000001118,58168,4,NA,NA,94,0.47
200,4,"Osius-Rojek",30,20360736,0.00146070000027976,58168,3,NA,NA,108,0.54
