"n","G","GoverSqrtN","size_HL_F","adj_HL_F","raw_HL_F","size_HL","adj_HL","raw_HL","size_EDGE.poly3","adj_EDGE.poly3","raw_EDGE.poly3","size_Stukel","adj_Stukel","raw_Stukel","size_GiViTI","adj_GiViTI","raw_GiViTI","gap_adj","gap_raw","mcse_gap"
1000,10,0.316227766016838,0.054,0.478,0.498,0.054,0.377333333333333,0.394,0.0433333333333333,0.758,0.746666666666667,0.05,0.836666666666667,0.838666666666667,0.0486666666666667,0.867333333333333,0.865333333333333,0.100666666666667,0.104,0.0182574185835055
1000,12,0.379473319220206,0.044,0.456666666666667,0.438,0.0486666666666667,0.348,0.346666666666667,0.0506666666666667,0.792,0.798,0.0506666666666667,0.854666666666667,0.862,0.0453333333333333,0.890666666666667,0.876666666666667,0.108666666666667,0.0913333333333333,0.0182574185835055
1000,16,0.505964425626941,0.0426666666666667,0.394,0.375333333333333,0.0473333333333333,0.285333333333333,0.266666666666667,0.046,0.796666666666667,0.778,0.0466666666666667,0.856666666666667,0.846,0.0493333333333333,0.854666666666667,0.854666666666667,0.108666666666667,0.108666666666667,0.0182574185835055
1000,20,0.632455532033676,0.052,0.318,0.33,0.0533333333333333,0.198,0.206666666666667,0.0553333333333333,0.764666666666667,0.786666666666667,0.0573333333333333,0.822,0.862,0.0593333333333333,0.852,0.876666666666667,0.12,0.123333333333333,0.0182574185835055
2000,6,0.134164078649987,0.05,0.945333333333333,0.945333333333333,0.0533333333333333,0.923333333333333,0.926,0.0513333333333333,0.966666666666667,0.967333333333333,0.056,0.992,0.994,0.046,0.990666666666667,0.99,0.022,0.0193333333333333,0.0182574185835055
2000,8,0.178885438199983,0.04,0.932,0.926,0.0406666666666667,0.912666666666667,0.902666666666667,0.0486666666666667,0.972,0.971333333333333,0.0466666666666667,0.994666666666667,0.992666666666667,0.0533333333333333,0.989333333333333,0.990666666666667,0.0193333333333334,0.0233333333333334,0.0182574185835055
2000,10,0.223606797749979,0.05,0.900666666666667,0.901333333333333,0.05,0.850666666666667,0.850666666666667,0.0486666666666667,0.984,0.983333333333333,0.0466666666666667,0.993333333333333,0.992,0.0526666666666667,0.993333333333333,0.993333333333333,0.0499999999999999,0.0506666666666666,0.0182574185835055
2000,12,0.268328157299975,0.048,0.875333333333333,0.865333333333333,0.0526666666666667,0.797333333333333,0.812666666666667,0.05,0.99,0.990666666666667,0.05,0.997333333333333,0.998,0.052,0.994,0.994666666666667,0.078,0.0526666666666666,0.0182574185835055
2000,16,0.357770876399966,0.046,0.847333333333333,0.827333333333333,0.0453333333333333,0.776666666666667,0.736,0.0433333333333333,0.989333333333333,0.988666666666667,0.0466666666666667,0.994666666666667,0.994,0.0466666666666667,0.993333333333333,0.992,0.0706666666666668,0.0913333333333334,0.0182574185835055
2000,20,0.447213595499958,0.0493333333333333,0.745333333333333,0.744,0.0486666666666667,0.626666666666667,0.626,0.0453333333333333,0.989333333333333,0.988,0.0533333333333333,0.993333333333333,0.993333333333333,0.058,0.993333333333333,0.994666666666667,0.118666666666667,0.118,0.0182574185835055
5000,6,0.0848528137423857,0.0466666666666667,1,1,0.0486666666666667,1,1,0.0473333333333333,1,1,0.0533333333333333,1,1,0.0586666666666667,1,1,0,0,0.0182574185835055
5000,8,0.113137084989848,0.05,1,1,0.05,1,1,0.048,1,1,0.0473333333333333,1,1,0.054,1,1,0,0,0.0182574185835055
5000,10,0.14142135623731,0.0453333333333333,1,1,0.0446666666666667,1,1,0.0586666666666667,1,1,0.0566666666666667,1,1,0.054,1,1,0,0,0.0182574185835055
5000,12,0.169705627484771,0.054,1,1,0.0593333333333333,1,1,0.0486666666666667,1,1,0.0526666666666667,1,1,0.0433333333333333,1,1,0,0,0.0182574185835055
5000,16,0.226274169979695,0.0653333333333333,0.999333333333333,1,0.056,0.998666666666667,0.998666666666667,0.04,1,1,0.048,1,1,0.0506666666666667,1,1,0.000666666666666593,0.0013333333333333,0.0182574185835055
5000,20,0.282842712474619,0.042,0.999333333333333,0.999333333333333,0.042,0.999333333333333,0.999333333333333,0.058,1,1,0.06,1,1,0.05,1,1,0,0,0.0182574185835055
