"scenario","pstar","G","test","size_raw","power_raw","power_adj","na_null","na_alt","B","mcse_size"
"binint",20,10,"EDGE.poly2",0.0545,0.5475,0.5275,0,0,2000,0.00507591124823908
"binint",20,10,"EDGE.poly3",0.0505,0.5025,0.5005,0,0,2000,0.00489641450451246
"binint",20,10,"EDGE.stk",0.0475,0.557,0.561,0,0,2000,0.00475624589355933
"binint",20,10,"HL_F",0.058,0.286,0.265,0,0,2000,0.00522666241496426
"binint",20,10,"HL",0.0575,0.3125,0.2875,0,0,2000,0.00520546587732549
"binint",20,10,"HL_w",0.054,0.3005,0.2815,0,0,2000,0.00505390937789747
"binint",20,10,"Stukel",0.059,0.478978978978979,0.437937937937938,0,0.001,2000,0.00526872849936301
"binint",20,10,"GiViTI",0.053,0.532,0.5215,0,0,2000,0.0050095408971282
"cloglog",20,20,"EDGE.poly2",0.0535,0.7235,0.715,0,0,2000,0.00503178646208283
"cloglog",20,20,"EDGE.poly3",0.0535,0.6595,0.651,0,0,2000,0.00503178646208283
"cloglog",20,20,"EDGE.stk",0.054,0.549,0.534,0,0,2000,0.00505390937789747
"cloglog",20,20,"HL_F",0.047,0.2505,0.2525,0,0,2000,0.00473238840333293
"cloglog",20,20,"HL",0.048,0.153,0.1555,0,0,2000,0.00477995815881269
"cloglog",20,20,"HL_w",0.0585,0.3055,0.282,0,0,2000,0.0052477495176504
"cloglog",20,20,"Stukel",0.0495,0.7395,0.7425,0,0,2000,0.0048502448391808
"cloglog",20,20,"GiViTI",0.047,0.7595,0.764,0,0,2000,0.00473238840333293
"quad",20,20,"EDGE.poly2",0.0535,1,1,0,0,2000,0.00503178646208283
"quad",20,20,"EDGE.poly3",0.0535,1,1,0,0,2000,0.00503178646208283
"quad",20,20,"EDGE.stk",0.054,1,1,0,0,2000,0.00505390937789747
"quad",20,20,"HL_F",0.047,1,1,0,0,2000,0.00473238840333293
"quad",20,20,"HL",0.048,1,1,0,0,2000,0.00477995815881269
"quad",20,20,"HL_w",0.0585,1,1,0,0,2000,0.0052477495176504
"quad",20,20,"Stukel",0.0495,1,1,0,0.0135,2000,0.0048502448391808
"quad",20,20,"GiViTI",0.047,1,1,0,0,2000,0.00473238840333293
"binint",20,20,"EDGE.poly2",0.0535,0.525,0.5185,0,0,2000,0.00503178646208283
"binint",20,20,"EDGE.poly3",0.0535,0.5115,0.5,0,0,2000,0.00503178646208283
"binint",20,20,"EDGE.stk",0.054,0.500250125062531,0.48624312156078,0,5e-04,2000,0.00505390937789747
"binint",20,20,"HL_F",0.047,0.2165,0.22,0,0,2000,0.00473238840333293
"binint",20,20,"HL",0.048,0.2465,0.2495,0,0,2000,0.00477995815881269
"binint",20,20,"HL_w",0.0585,0.2595,0.244,0,0,2000,0.0052477495176504
"binint",20,20,"Stukel",0.0495,0.467200801201803,0.469203805708563,0,0.0015,2000,0.0048502448391808
"binint",20,20,"GiViTI",0.047,0.5195,0.524,0,0,2000,0.00473238840333293
