"spectrum","min_over_max","k_df","S","p_imhof","p_satter","abs_delta_p","tail"
"poly3_typical",0.28,3,14.796796171853,0.000223300057440479,9.9999999999989e-05,0.00012330005744049,TRUE
"stukel_typical",0.12,3,1.11207469597221,0.497770522908128,0.5,0.00222947709187188,FALSE
"stukel_typical",0.12,3,2.55416248028114,0.189411626304503,0.2,0.0105883736954965,FALSE
"stukel_typical",0.12,3,3.64040122421605,0.0950108057248459,0.1,0.00498919427515412,FALSE
"stukel_typical",0.12,3,4.72467791520794,0.0489713926427028,0.05,0.00102860735729723,TRUE
"stukel_typical",0.12,3,6.15615705535787,0.0210425937296518,0.02,0.00104259372965175,TRUE
"stukel_typical",0.12,3,7.23807583373617,0.0113057315829806,0.01,0.00130573158298065,TRUE
"stukel_typical",0.12,3,8.31940082393621,0.00614439795337862,0.00500000000000001,0.00114439795337861,TRUE
"stukel_typical",0.12,3,9.74813976627631,0.00278122195077185,0.002,0.000781221950771849,TRUE
"stukel_typical",0.12,3,10.8285253158683,0.00153869519941957,0.001,0.000538695199419569,TRUE
"stukel_typical",0.12,3,11.9086233297724,0.000855837772331003,0.000499999999999945,0.000355837772331058,TRUE
"stukel_typical",0.12,3,14.4156608675778,0.000222589985285404,9.99999999999891e-05,0.000122589985285415,TRUE
"near_zero_1",0.004,3,0.906470983319704,0.502860106130348,0.5,0.00286010613034793,FALSE
"near_zero_1",0.004,3,2.28639767171593,0.191755938561,0.2,0.00824406143900006,FALSE
"near_zero_1",0.004,3,3.36450657757631,0.0954405965810501,0.1,0.00455940341894981,FALSE
"near_zero_1",0.004,3,4.45715725196452,0.0487254560201545,0.0499999999999999,0.00127454397984544,TRUE
"near_zero_1",0.004,3,5.91532094703195,0.0206204216890749,0.02,0.000620421689074831,TRUE
"near_zero_1",0.004,3,7.02542900581644,0.0109257930291421,0.01,0.000925793029142068,TRUE
"near_zero_1",0.004,3,8.13991584493894,0.00584313771775408,0.00500000000000001,0.000843137717754071,TRUE
"near_zero_1",0.004,3,9.61829793397035,0.00258129732826584,0.002,0.000581297328265838,TRUE
"near_zero_1",0.004,3,10.7396852325755,0.00139995568420093,0.001,0.000399955684200926,TRUE
"near_zero_1",0.004,3,11.863175921977,0.000761923488623473,0.000499999999999946,0.000261923488623526,TRUE
"near_zero_1",0.004,3,14.4782034510607,0.000187750427777744,9.9999999999989e-05,8.77504277777552e-05,TRUE
"near_zero_2",0.008,2,0.465015071023736,0.499071845476538,0.5,0.000928154523462343,FALSE
"near_zero_2",0.008,2,1.65660021455855,0.199153293020945,0.2,0.00084670697905509,FALSE
"near_zero_2",0.008,2,2.7181922842019,0.0997156057526045,0.1,0.000284394247395472,FALSE
"near_zero_2",0.008,2,3.85034084333859,0.0499753845989802,0.0500000000000001,2.46154010199798e-05,TRUE
"near_zero_2",0.008,2,5.41372186331226,0.020072122006291,0.02,7.21220062909929e-05,TRUE
"near_zero_2",0.008,2,6.63034031335405,0.0100717949151922,0.01,7.17949151921374e-05,TRUE
"near_zero_2",0.008,2,7.86786122863179,0.0050520952923544,0.00500000000000002,5.20952923543806e-05,TRUE
"near_zero_2",0.008,2,9.52794796250265,0.00203295478882926,0.002,3.29547888292532e-05,TRUE
"near_zero_2",0.008,2,10.7979812896757,0.00102541950175961,0.001,2.54195017596057e-05,TRUE
"near_zero_2",0.008,2,12.0777941425165,0.000494827406712861,0.000499999999999946,5.17259328708484e-06,TRUE
"near_zero_2",0.008,2,15.0787378030882,0.000100074953614693,9.99999999999889e-05,7.49536147038579e-08,TRUE
"well_conditioned",0.8,3,2.12496723950595,0.499955990356629,0.500000000000001,4.40096433712012e-05,FALSE
"well_conditioned",0.8,3,4.18120842479772,0.199538965861164,0.2,0.000461034138836303,FALSE
"well_conditioned",0.8,3,5.63750840000035,0.0997389181294731,0.1,0.000261081870526883,FALSE
"well_conditioned",0.8,3,7.05257888962266,0.0499269654468574,0.05,7.30345531426424e-05,TRUE
"well_conditioned",0.8,3,8.88417442097656,0.0200474979833495,0.02,4.74979833494579e-05,TRUE
"well_conditioned",0.8,3,10.2496147496007,0.0100706062578424,0.01,7.06062578423993e-05,TRUE
"well_conditioned",0.8,3,11.602473951951,0.00506647210246014,0.005,6.64721024601382e-05,TRUE
"well_conditioned",0.8,3,13.3760626018928,0.00204774920511702,0.002,4.77492051170207e-05,TRUE
"well_conditioned",0.8,3,14.7088814134654,0.00103376429972035,0.001,3.37642997203526e-05,TRUE
"well_conditioned",0.8,3,16.0355221256138,0.00052241833724459,0.000499999999999945,2.2418337244645e-05,TRUE
"well_conditioned",0.8,3,19.0970425875601,0.000107647779375775,9.99999999999891e-05,7.64777937578556e-06,TRUE
