"n","m","G","scen","test","B","size","power_adj","na_null"
2000,25,80,"probit","HL_w",2000,0.05,0.055,0
2000,25,80,"probit","Stukel",2000,0.0565,0.1295,0
2000,25,80,"probit","GiViTI",2000,0.0535,0.0725,0
2000,50,40,"cloglog","EDGE.poly2",2000,0.0435,0.989,0
2000,50,40,"cloglog","EDGE.poly3",2000,0.05,0.9895,0
2000,50,40,"cloglog","EDGE.stk",2000,0.0515,0.9925,0
2000,50,40,"cloglog","HL_F",2000,0.0485,0.5515,0
2000,50,40,"cloglog","HL",2000,0.048,0.346,0
2000,50,40,"cloglog","HL_w",2000,0.0505,0.594,0
2000,50,40,"cloglog","Stukel",2000,0.05,0.9965,0
2000,50,40,"cloglog","GiViTI",2000,0.045,0.9955,0
2000,50,40,"probit","EDGE.poly2",2000,0.0435,0.064,0
2000,50,40,"probit","EDGE.poly3",2000,0.05,0.1075,0
2000,50,40,"probit","EDGE.stk",2000,0.0515,0.0965,0
2000,50,40,"probit","HL_F",2000,0.0485,0.0625,0
2000,50,40,"probit","HL",2000,0.048,0.0545,0
2000,50,40,"probit","HL_w",2000,0.0505,0.048,0
2000,50,40,"probit","Stukel",2000,0.05,0.125,0
2000,50,40,"probit","GiViTI",2000,0.045,0.0735,0
2000,100,20,"cloglog","EDGE.poly2",2000,0.0475,0.993,0
2000,100,20,"cloglog","EDGE.poly3",2000,0.044,0.9925,0
2000,100,20,"cloglog","EDGE.stk",2000,0.048,0.993,0
2000,100,20,"cloglog","HL_F",2000,0.053,0.749,0
2000,100,20,"cloglog","HL",2000,0.0525,0.6315,0
2000,100,20,"cloglog","HL_w",2000,0.0495,0.7655,0
2000,100,20,"cloglog","Stukel",2000,0.05,0.995,0
2000,100,20,"cloglog","GiViTI",2000,0.0465,0.9935,0
2000,100,20,"probit","EDGE.poly2",2000,0.0475,0.054,0
2000,100,20,"probit","EDGE.poly3",2000,0.044,0.1205,0
2000,100,20,"probit","EDGE.stk",2000,0.048,0.112,0
2000,100,20,"probit","HL_F",2000,0.053,0.074,0
2000,100,20,"probit","HL",2000,0.0525,0.0645,0
2000,100,20,"probit","HL_w",2000,0.0495,0.0595,0
2000,100,20,"probit","Stukel",2000,0.05,0.126,0
2000,100,20,"probit","GiViTI",2000,0.0465,0.0665,0
2000,200,10,"cloglog","EDGE.poly2",2000,0.0565,0.978,0
2000,200,10,"cloglog","EDGE.poly3",2000,0.054,0.981,0
2000,200,10,"cloglog","EDGE.stk",2000,0.052,0.986,0
2000,200,10,"cloglog","HL_F",2000,0.052,0.8985,0
2000,200,10,"cloglog","HL",2000,0.0515,0.849,0
2000,200,10,"cloglog","HL_w",2000,0.0385,0.845,0
2000,200,10,"cloglog","Stukel",2000,0.05,0.9975,0
2000,200,10,"cloglog","GiViTI",2000,0.051,0.994,0
2000,200,10,"probit","EDGE.poly2",2000,0.0565,0.051,0
2000,200,10,"probit","EDGE.poly3",2000,0.054,0.0895,0
2000,200,10,"probit","EDGE.stk",2000,0.052,0.121,0
2000,200,10,"probit","HL_F",2000,0.052,0.074,0
2000,200,10,"probit","HL",2000,0.0515,0.0665,0
2000,200,10,"probit","HL_w",2000,0.0385,0.0905,0
2000,200,10,"probit","Stukel",2000,0.05,0.1305,0
2000,200,10,"probit","GiViTI",2000,0.051,0.0645,0
5000,15,333,"cloglog","EDGE.poly2",2000,0.0435,1,0
5000,15,333,"cloglog","EDGE.poly3",2000,0.044,1,0
5000,15,333,"cloglog","EDGE.stk",2000,0.045,1,0
5000,15,333,"cloglog","HL_F",2000,0.0465,0.46,0
5000,15,333,"cloglog","HL",2000,0.046,0.032,0
5000,15,333,"cloglog","HL_w",2000,0.0445,0.6495,0
5000,15,333,"cloglog","Stukel",2000,0.044,1,0
5000,15,333,"cloglog","GiViTI",2000,0.0415,1,0
5000,15,333,"probit","EDGE.poly2",2000,0.0435,0.0895,0
5000,15,333,"probit","EDGE.poly3",2000,0.044,0.303,0
5000,15,333,"probit","EDGE.stk",2000,0.045,0.295,0
5000,15,333,"probit","HL_F",2000,0.0465,0.0555,0
5000,15,333,"probit","HL",2000,0.046,0.032,0
5000,15,333,"probit","HL_w",2000,0.0445,0.0615,0
5000,15,333,"probit","Stukel",2000,0.044,0.3105,0
5000,15,333,"probit","GiViTI",2000,0.0415,0.145,0
5000,25,200,"cloglog","EDGE.poly2",2000,0.0445,1,0
5000,25,200,"cloglog","EDGE.poly3",2000,0.042,1,0
5000,25,200,"cloglog","EDGE.stk",2000,0.0485,1,0
5000,25,200,"cloglog","HL_F",2000,0.047,0.6775,0
5000,25,200,"cloglog","HL",2000,0.045,0.187,0
5000,25,200,"cloglog","HL_w",2000,0.0445,0.782,0
5000,25,200,"cloglog","Stukel",2000,0.0445,1,0
5000,25,200,"cloglog","GiViTI",2000,0.0445,1,0
5000,25,200,"probit","EDGE.poly2",2000,0.0445,0.091,0
5000,25,200,"probit","EDGE.poly3",2000,0.042,0.271,0
5000,25,200,"probit","EDGE.stk",2000,0.0485,0.2695,0
5000,25,200,"probit","HL_F",2000,0.047,0.0725,0
5000,25,200,"probit","HL",2000,0.045,0.046,0
5000,25,200,"probit","HL_w",2000,0.0445,0.075,0
5000,25,200,"probit","Stukel",2000,0.0445,0.293,0
5000,25,200,"probit","GiViTI",2000,0.0445,0.13,0
5000,50,100,"cloglog","EDGE.poly2",2000,0.049,1,0
5000,50,100,"cloglog","EDGE.poly3",2000,0.0505,1,0
5000,50,100,"cloglog","EDGE.stk",2000,0.0435,1,0
5000,50,100,"cloglog","HL_F",2000,0.046,0.8915,0
5000,50,100,"cloglog","HL",2000,0.0465,0.6485,0
5000,50,100,"cloglog","HL_w",2000,0.0525,0.904,0
5000,50,100,"cloglog","Stukel",2000,0.049,1,0
5000,50,100,"cloglog","GiViTI",2000,0.0485,1,0
5000,50,100,"probit","EDGE.poly2",2000,0.049,0.075,0
5000,50,100,"probit","EDGE.poly3",2000,0.0505,0.2285,0
5000,50,100,"probit","EDGE.stk",2000,0.0435,0.2665,0
5000,50,100,"probit","HL_F",2000,0.046,0.0685,0
5000,50,100,"probit","HL",2000,0.0465,0.0525,0
5000,50,100,"probit","HL_w",2000,0.0525,0.062,0
5000,50,100,"probit","Stukel",2000,0.049,0.2545,0
5000,50,100,"probit","GiViTI",2000,0.0485,0.111,0
5000,100,50,"cloglog","EDGE.poly2",2000,0.056,1,0
5000,100,50,"cloglog","EDGE.poly3",2000,0.055,1,0
5000,100,50,"cloglog","EDGE.stk",2000,0.055,1,0
5000,100,50,"cloglog","HL_F",2000,0.054,0.975,0
5000,100,50,"cloglog","HL",2000,0.055,0.9315,0
5000,100,50,"cloglog","HL_w",2000,0.056,0.9805,0
5000,100,50,"cloglog","Stukel",2000,0.057,1,0
5000,100,50,"cloglog","GiViTI",2000,0.0545,1,0
5000,100,50,"probit","EDGE.poly2",2000,0.056,0.0785,0
5000,100,50,"probit","EDGE.poly3",2000,0.055,0.232,0
5000,100,50,"probit","EDGE.stk",2000,0.055,0.2575,0
5000,100,50,"probit","HL_F",2000,0.054,0.084,0
5000,100,50,"probit","HL",2000,0.055,0.0655,0
5000,100,50,"probit","HL_w",2000,0.056,0.069,0
5000,100,50,"probit","Stukel",2000,0.057,0.253,0
5000,100,50,"probit","GiViTI",2000,0.0545,0.1135,0
5000,200,25,"cloglog","EDGE.poly2",2000,0.0515,1,0
5000,200,25,"cloglog","EDGE.poly3",2000,0.0515,1,0
5000,200,25,"cloglog","EDGE.stk",2000,0.049,1,0
5000,200,25,"cloglog","HL_F",2000,0.04,0.999,0
5000,200,25,"cloglog","HL",2000,0.0395,0.999,0
5000,200,25,"cloglog","HL_w",2000,0.0395,0.9995,0
5000,200,25,"cloglog","Stukel",2000,0.053,1,0
5000,200,25,"cloglog","GiViTI",2000,0.0495,1,0
5000,200,25,"probit","EDGE.poly2",2000,0.0515,0.0715,0
5000,200,25,"probit","EDGE.poly3",2000,0.0515,0.226,0
