"family","param","n","G","alpha","test","reject_rate","power_size_adj","size_at_cell","B","mcse"
"quad","0.05",200,10,0.1,"DEF.poly2",0.6506,0.6361,0.0997,10000,0.00476780494567469
"quad","0.05",200,10,0.01,"DEF.poly3",0.2918,0.2841,0.0089,10000,0.00454590761014784
"quad","0.05",200,10,0.05,"DEF.poly3",0.4868,0.4714,0.0502,10000,0.00499825729629838
"quad","0.05",200,10,0.1,"DEF.poly3",0.5948,0.5822,0.0987,10000,0.00490930707941559
"quad","0.05",200,10,0.01,"DEF.stukel",0.4083,0.4204,0.0083,10000,0.00491519185790341
"quad","0.05",200,10,0.05,"DEF.stukel",0.5407,0.5473,0.0486,10000,0.00498340756912376
"quad","0.05",200,10,0.1,"DEF.stukel",0.6126,0.6175,0.0985,10000,0.00487156278826415
"quad","0.05",200,10,0.01,"EF",0.1349,0.1369,0.0091,10000,0.00341616729684013
"quad","0.05",200,10,0.05,"EF",0.2485,0.2555,0.0469,10000,0.00432143205430792
"quad","0.05",200,10,0.1,"EF",0.3312,0.3355,0.0968,10000,0.00470644834243403
"quad","0.05",200,10,0.01,"HL",0.3022,0.3055,0.0097,10000,0.00459211454560968
"quad","0.05",200,10,0.05,"HL",0.4757,0.4872,0.0465,10000,0.00499409160909169
"quad","0.05",200,10,0.1,"HL",0.5717,0.5751,0.0977,10000,0.00494832405971961
"quad","0.05",200,10,0.01,"HL-equalwidth",0.037,0.0579,0.0088,10000,0.00188761754600872
"quad","0.05",200,10,0.05,"HL-equalwidth",0.131,0.1928,0.0502,10000,0.00337400355660749
"quad","0.05",200,10,0.1,"HL-equalwidth",0.2298,0.3148,0.0992,10000,0.00420704124058702
"quad","0.05",200,10,0.01,"Pigeon-Heyse",0.2635,0.3071,0.005,10000,0.00440531213423067
"quad","0.05",200,10,0.05,"Pigeon-Heyse",0.4169,0.489,0.0289,10000,0.00493046032333696
"quad","0.05",200,10,0.1,"Pigeon-Heyse",0.5131,0.5761,0.0622,10000,0.00499828360539896
"quad","0.05",200,10,0.01,"Stukel",0.4654,0.3526,0.0247,10000,0.00498801403366109
"quad","0.05",200,10,0.05,"Stukel",0.6196,0.5732,0.0699,10000,0.00485485159402427
"quad","0.05",200,10,0.1,"Stukel",0.6964,0.6731,0.1161,10000,0.004598119615669
"quad","0.05",200,10,0.01,"Tsiatis",0.2928,0.3047,0.009,10000,0.00455047426099742
"quad","0.05",200,10,0.05,"Tsiatis",0.4605,0.4712,0.0453,10000,0.00498437307993693
"quad","0.05",200,10,0.1,"Tsiatis",0.5617,0.5696,0.0955,10000,0.00496178506185022
"quad","0.05",200,10,0.01,"Xie",0.2926,0.3272,0.0058,10000,0.00454956305594285
"quad","0.05",200,10,0.05,"Xie",0.4517,0.4913,0.0363,10000,0.00497661642082249
"quad","0.05",200,10,0.1,"Xie",0.5458,0.5853,0.0758,10000,0.0049789794134943
"quad","0.1",200,10,0.01,"DEF.poly2",0.6958,0.6551,0.0118,10000,0.00460067777615429
"quad","0.1",200,10,0.05,"DEF.poly2",0.8373,0.8249,0.0506,10000,0.00369091736564231
"quad","0.1",200,10,0.1,"DEF.poly2",0.8883,0.8823,0.0997,10000,0.00314996999985714
"quad","0.1",200,10,0.01,"DEF.poly3",0.6523,0.6458,0.0089,10000,0.00476240181001142
"quad","0.1",200,10,0.05,"DEF.poly3",0.8047,0.7956,0.0502,10000,0.00396431469487477
"quad","0.1",200,10,0.1,"DEF.poly3",0.8653,0.8597,0.0987,10000,0.00341402855875577
"quad","0.1",200,10,0.01,"DEF.stukel",0.7442,0.7516,0.0083,10000,0.00436309935710843
"quad","0.1",200,10,0.05,"DEF.stukel",0.8353,0.8384,0.0486,10000,0.00370909571189529
"quad","0.1",200,10,0.1,"DEF.stukel",0.8745,0.8765,0.0985,10000,0.00331284998151139
"quad","0.1",200,10,0.01,"EF",0.3896,0.3925,0.0091,10000,0.00487659553377149
"quad","0.1",200,10,0.05,"EF",0.5401,0.5491,0.0469,10000,0.00498389395954609
"quad","0.1",200,10,0.1,"EF",0.623,0.627,0.0968,10000,0.00484634914136404
"quad","0.1",200,10,0.01,"HL",0.6355,0.6388,0.0097,10000,0.00481289673689349
"quad","0.1",200,10,0.05,"HL",0.7785,0.7879,0.0465,10000,0.00415256246190229
"quad","0.1",200,10,0.1,"HL",0.8404,0.8417,0.0977,10000,0.00366234678860427
"quad","0.1",200,10,0.01,"HL-equalwidth",0.1386,0.1513,0.0088,10000,0.00345528638465757
"quad","0.1",200,10,0.05,"HL-equalwidth",0.3312,0.3689,0.0502,10000,0.00470644834243403
"quad","0.1",200,10,0.1,"HL-equalwidth",0.4589,0.5059,0.0992,10000,0.00498307926888586
"quad","0.1",200,10,0.01,"Pigeon-Heyse",0.5867,0.6403,0.005,10000,0.00492425740594458
"quad","0.1",200,10,0.05,"Pigeon-Heyse",0.7385,0.7891,0.0289,10000,0.00439451646941959
"quad","0.1",200,10,0.1,"Pigeon-Heyse",0.8059,0.8419,0.0622,10000,0.00395506245209858
"quad","0.1",200,10,0.01,"Stukel",0.7957,0.7085,0.0247,10000,0.00403189173961802
"quad","0.1",200,10,0.05,"Stukel",0.8782,0.8571,0.0699,10000,0.00327054674328315
"quad","0.1",200,10,0.1,"Stukel",0.9128,0.9007,0.1161,10000,0.00282127914251674
"quad","0.1",200,10,0.01,"Tsiatis",0.6138,0.6274,0.009,10000,0.00486877356220229
"quad","0.1",200,10,0.05,"Tsiatis",0.7602,0.7681,0.0453,10000,0.00426961309722556
"quad","0.1",200,10,0.1,"Tsiatis",0.8306,0.8354,0.0955,10000,0.00375104838678469
"quad","0.1",200,10,0.01,"Xie",0.613,0.6478,0.0058,10000,0.00487063650871218
"quad","0.1",200,10,0.05,"Xie",0.76,0.7905,0.0363,10000,0.00427083130081252
"quad","0.1",200,10,0.1,"Xie",0.8276,0.8507,0.0758,10000,0.00377727732632911
"quad","0.2",200,10,0.01,"DEF.poly2",0.9438,0.9321,0.0118,10000,0.00230307533528541
"quad","0.2",200,10,0.05,"DEF.poly2",0.9787,0.9765,0.0506,10000,0.00144382512791543
"quad","0.2",200,10,0.1,"DEF.poly2",0.9866,0.9857,0.0997,10000,0.00114980172203732
"quad","0.2",200,10,0.01,"DEF.poly3",0.9337,0.9326,0.0089,10000,0.00248805767618036
"quad","0.2",200,10,0.05,"DEF.poly3",0.9739,0.9721,0.0502,10000,0.00159432713079844
"quad","0.2",200,10,0.1,"DEF.poly3",0.9837,0.9822,0.0987,10000,0.00126626655961531
"quad","0.2",200,10,0.01,"DEF.stukel",0.9593,0.9598,0.0083,10000,0.00197594306598141
"quad","0.2",200,10,0.05,"DEF.stukel",0.9772,0.9772,0.0486,10000,0.00149265401215419
"quad","0.2",200,10,0.1,"DEF.stukel",0.9833,0.9835,0.0985,10000,0.00128144878945669
"quad","0.2",200,10,0.01,"EF",0.757,0.7605,0.0091,10000,0.00428895092067979
"quad","0.2",200,10,0.05,"EF",0.8485,0.8531,0.0469,10000,0.00358535563089633
"quad","0.2",200,10,0.1,"EF",0.8834,0.8848,0.0968,10000,0.00320943047907257
"quad","0.2",200,10,0.01,"HL",0.9027,0.9041,0.0097,10000,0.0029636583811229
"quad","0.2",200,10,0.05,"HL",0.9595,0.9616,0.0465,10000,0.00197128765024286
"quad","0.2",200,10,0.1,"HL",0.9747,0.9753,0.0977,10000,0.00157034741379097
"quad","0.2",200,10,0.01,"HL-equalwidth",0.4479,0.4116,0.0088,10000,0.0049727818170517
"quad","0.2",200,10,0.05,"HL-equalwidth",0.666,0.652,0.0502,10000,0.00471639692986076
"quad","0.2",200,10,0.1,"HL-equalwidth",0.7694,0.7592,0.0992,10000,0.00421216856262899
"quad","0.2",200,10,0.01,"Pigeon-Heyse",0.875887588758876,0.904890489048905,0.005,10000,0.00329709752080581
"quad","0.2",200,10,0.05,"Pigeon-Heyse",0.945794579457946,0.961996199619962,0.0289,10000,0.00226422598090193
"quad","0.2",200,10,0.1,"Pigeon-Heyse",0.966096609660966,0.975397539753975,0.0622,10000,0.00180980525091936
"quad","0.2",200,10,0.01,"Stukel",0.970889379642642,0.948905842200361,0.0247,10000,0.00168116602808193
"quad","0.2",200,10,0.05,"Stukel",0.986749648664927,0.983537442280667,0.0699,10000,0.00114345002184487
"quad","0.2",200,10,0.1,"Stukel",0.991668339690825,0.990463762296728,0.1161,10000,0.000908968852363346
"quad","0.2",200,10,0.01,"Tsiatis",0.8934,0.9003,0.009,10000,0.00308604018120309
"quad","0.2",200,10,0.05,"Tsiatis",0.9528,0.9544,0.0453,10000,0.00212066404694379
"quad","0.2",200,10,0.1,"Tsiatis",0.9691,0.97,0.0955,10000,0.00173046785581241
"quad","0.2",200,10,0.01,"Xie",0.8979,0.9154,0.0058,10000,0.00302779771451132
"quad","0.2",200,10,0.05,"Xie",0.9554,0.9634,0.0363,10000,0.0020642393272099
"quad","0.2",200,10,0.1,"Xie",0.9725,0.9771,0.0758,10000,0.00163535164414263
"quad","0.4",200,10,0.01,"DEF.poly2",0.9967,0.9961,0.0118,10000,0.000573507628545599
"quad","0.4",200,10,0.05,"DEF.poly2",0.9993,0.9993,0.0506,10000,0.000264482513599677
"quad","0.4",200,10,0.1,"DEF.poly2",0.9995,0.9995,0.0997,10000,0.000223550889061069
"quad","0.4",200,10,0.01,"DEF.poly3",0.9967,0.9968,0.0089,10000,0.000573507628545599
"quad","0.4",200,10,0.05,"DEF.poly3",0.999,0.9988,0.0502,10000,0.000316069612585582
"quad","0.4",200,10,0.1,"DEF.poly3",0.9995,0.9995,0.0987,10000,0.000223550889061069
"quad","0.4",200,10,0.01,"DEF.stukel",0.997899369810943,0.994498349504851,0.0083,10000,0.000457844683475251
"quad","0.4",200,10,0.05,"DEF.stukel",0.99889966990097,0.997499249774932,0.0486,10000,0.000331529692893838
"quad","0.4",200,10,0.1,"DEF.stukel",0.999299789936981,0.998599579873962,0.0985,10000,0.000264522167102598
"quad","0.4",200,10,0.01,"EF",0.9792,0.9795,0.0091,10000,0.00142714259974258
"quad","0.4",200,10,0.05,"EF",0.9898,0.9906,0.0469,10000,0.00100478654449589
"quad","0.4",200,10,0.1,"EF",0.9926,0.9926,0.0968,10000,0.000857043756175842
"quad","0.4",200,10,0.01,"HL",0.9936,0.9937,0.0097,10000,0.000797435890840133
"quad","0.4",200,10,0.05,"HL",0.9982,0.9983,0.0465,10000,0.000423882059068324
"quad","0.4",200,10,0.1,"HL",0.999,0.999,0.0977,10000,0.000316069612585582
"quad","0.4",200,10,0.01,"HL-equalwidth",0.876625975585351,0.8178,0.0088,10000,0.00328866043419479
"quad","0.4",200,10,0.05,"HL-equalwidth",0.956073644186512,0.9284,0.0502,10000,0.00204931283796386
"quad","0.4",200,10,0.1,"HL-equalwidth",0.974684810886532,0.9609,0.0992,10000,0.00157080649074345
"quad","0.4",200,10,0.01,"Pigeon-Heyse",0.9913,0.9937,0.005,10000,0.000928671631956099
