"scenario","shape","n","G","alpha","test","reject_rate","mcse","B","A_delta","mcse_diff_vs_HL","mcse_diff_vs_EF"
"sawtooth","sawtooth",1000,10,0.01,"DEF.poly2",0.0104,0.00143470136265357,5000,0.0460999773624466,0.0130858702423645,0.0130721077106946
"sawtooth","sawtooth",1000,10,0.05,"DEF.poly2",0.0516,0.00312849612433834,5000,0.0460999773624466,0.01342236938845,0.013419388957773
"sawtooth","sawtooth",1000,10,0.1,"DEF.poly2",0.1046,0.00432802125687941,5000,0.0460999773624466,0.0132151428293454,0.0132136293273271
"sawtooth","sawtooth",1000,10,0.01,"DEF.poly3",0.0358,0.00262748396760094,5000,0.0460999773624466,0.0128903064354576,0.0128763348822559
"sawtooth","sawtooth",1000,10,0.05,"DEF.poly3",0.1066,0.00436431987828573,5000,0.0460999773624466,0.0130030765590302,0.013
"sawtooth","sawtooth",1000,10,0.1,"DEF.poly3",0.181,0.00544497933880377,5000,0.0460999773624466,0.01261744823647,0.0126158630303281
"sawtooth","sawtooth",1000,10,0.01,"DEF.stukel",0.0646,0.00347640158784914,5000,0.0460999773624466,0.0126680700976905,0.0126538531681065
"sawtooth","sawtooth",1000,10,0.05,"DEF.stukel",0.1614,0.00520288458453577,5000,0.0460999773624466,0.0125841169733915,0.0125809379618532
"sawtooth","sawtooth",1000,10,0.1,"DEF.stukel",0.241,0.00604845434801322,5000,0.0460999773624466,0.0121326007104825,0.0121309521472966
"sawtooth","sawtooth",1000,10,0.01,"EF",0.8644,0.00484174844451878,5000,0.0460999773624466,6e-04,0
"sawtooth","sawtooth",1000,10,0.05,"EF",0.9508,0.00305873699425106,5000,0.0460999773624466,0.000282842712474619,0
"sawtooth","sawtooth",1000,10,0.1,"EF",0.9764,0.00214676687136726,5000,0.0460999773624466,0.000447213595499958,0
"sawtooth","sawtooth",1000,10,0.01,"HL",0.8662,0.00481451056702548,5000,0.0460999773624466,0,6e-04
"sawtooth","sawtooth",1000,10,0.05,"HL",0.9512,0.00304691844328003,5000,0.0460999773624466,0,0.000282842712474619
"sawtooth","sawtooth",1000,10,0.1,"HL",0.9766,0.00213786996798215,5000,0.0460999773624466,0,0.000447213595499958
"sawtooth","sawtooth",1000,10,0.01,"HL-equalwidth",0.7548,0.00608402761334956,5000,0.0460999773624466,0.00690796641566822,0.00689927532426414
"sawtooth","sawtooth",1000,10,0.05,"HL-equalwidth",0.8732,0.0047057785753263,5000,0.0460999773624466,0.00516913919332803,0.00517687164221791
"sawtooth","sawtooth",1000,10,0.1,"HL-equalwidth",0.9182,0.00387579050001416,5000,0.0460999773624466,0.00418568990729127,0.00418090899207337
"sawtooth","sawtooth",1000,10,0.01,"Pigeon-Heyse",0.8206,0.00542615222786829,5000,0.0460999773624466,0.0030199337741083,0.00295972971738975
"sawtooth","sawtooth",1000,10,0.05,"Pigeon-Heyse",0.933,0.00353584501922808,5000,0.0460999773624466,0.00190787840283389,0.00188679622641132
